employee_id,age,gender,department,job_level,tenure,manager_id,salary,salary_position_pct,performance_score,manager_score,absenteeism_days,training_hours,promotion_last_2y,internal_mobility,workload_index,team_size,remote_ratio,low_performance_risk
1,50,Female,Marketing,Mid,11.2,92,29478,0.35,2,2.0,5,22.0,1,0,65,4,0.75,1
2,36,Female,Finance,Junior,5.3,76,33210,0.39,5,5.0,2,37.0,0,0,83,5,0.23,0
3,29,Female,Finance,Mid,0.8,38,35922,0.09,3,4.0,2,43.0,0,0,65,13,0.33,1
4,42,Male,HR,Mid,2.9,36,61289,0.51,2,3.0,6,66.0,0,0,98,14,0.04,1
5,40,Female,Finance,Senior,4.8,41,88561,0.55,1,3.0,5,61.0,1,0,68,12,0.83,1
6,44,Male,Data,Mid,0.4,69,58340,0.54,2,4.0,4,11.0,0,1,99,13,0.85,1
7,32,Female,HR,Junior,10.7,13,64850,0.68,1,3.0,4,29.0,0,0,33,8,0.63,1
8,32,Male,Data,Senior,8.1,87,81984,0.29,5,2.0,2,64.0,0,0,94,3,0.35,1
9,45,Female,IT,Lead,3.5,58,63163,0.56,2,2.0,4,40.0,0,0,69,4,0.08,1
10,57,Male,Data,Senior,17.1,50,73175,0.83,5,4.0,6,19.0,0,0,66,10,0.75,0
11,45,Male,IT,Junior,2.7,30,43642,0.56,3,3.0,5,5.0,1,1,96,13,0.73,0
12,24,Female,IT,Senior,20.7,62,36094,0.11,1,3.0,7,74.0,0,0,60,10,0.91,1
13,43,Female,Data,Senior,5.5,25,47423,0.57,3,5.0,1,3.0,0,0,76,8,0.73,0
14,23,Female,HR,Junior,5.0,27,58418,0.79,1,,2,9.0,1,0,56,5,0.83,1
15,45,Female,Finance,Senior,0.9,51,30741,0.47,5,2.0,5,,1,1,80,4,0.75,1
16,51,Male,Finance,Junior,10.7,78,71049,0.23,4,1.0,6,37.0,0,1,49,8,0.63,1
17,59,Female,IT,Junior,2.8,57,31838,0.43,2,1.0,8,0.0,0,0,42,3,0.43,1
18,23,Male,IT,Lead,0.9,47,76739,0.45,5,1.0,5,7.0,1,0,92,12,0.9,1
19,42,Male,HR,Mid,0.1,39,82028,0.49,1,1.0,9,62.0,1,0,73,8,0.65,1
20,54,Female,Marketing,Mid,4.1,16,28262,0.3,1,3.0,1,32.0,0,0,53,11,0.4,1
21,33,Male,Data,Senior,3.7,22,75490,0.93,1,3.0,3,14.0,0,0,32,9,0.08,1
